#,Pattern,Problem,Diff,Time Budget,NeetCode,Cold ✓ (date),1wk Review,3wk Review,Key Insight + Pitfall,Confidence
18,Sliding Window,Permutation in String,Medium,~60min first / ~8min review,https://neetcode.io/problems/permutation-string,,,,,
19,Sliding Window,Minimum Window Substring,Hard,~75min first / ~12min review,https://neetcode.io/problems/minimum-window-with-characters,,,,,
20,Sliding Window,Sliding Window Maximum,Hard,~75min first / ~12min review,https://neetcode.io/problems/sliding-window-maximum,,,,,
21,Stack,Valid Parentheses,Easy,~45min first / ~5min review,https://neetcode.io/problems/validate-parentheses,,,,,
22,Stack,Min Stack,Medium,~60min first / ~8min review,https://neetcode.io/problems/minimum-stack,,,,,
23,Stack,Evaluate Reverse Polish Notation,Medium,~60min first / ~8min review,https://neetcode.io/problems/evaluate-reverse-polish-notation,,,,,
24,Stack,Generate Parentheses,Medium,~60min first / ~8min review,https://neetcode.io/problems/generate-parentheses,,,,,
25,Stack,Daily Temperatures,Medium,~60min first / ~8min review,https://neetcode.io/problems/daily-temperatures,,,,,
26,Stack,Car Fleet,Medium,~60min first / ~8min review,https://neetcode.io/problems/car-fleet,,,,,
27,Stack,Largest Rectangle in Histogram,Hard,~75min first / ~12min review,https://neetcode.io/problems/largest-rectangle-in-histogram,,,,,
28,Binary Search,Binary Search,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-search,,,,,
29,Binary Search,Search a 2D Matrix,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-2d-matrix,,,,,
30,Binary Search,Koko Eating Bananas,Medium,~60min first / ~8min review,https://neetcode.io/problems/eating-bananas,,,,,
31,Binary Search,Find Minimum in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-minimum-in-rotated-sorted-array,,,,,
32,Binary Search,Search in Rotated Sorted Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-target-in-rotated-sorted-array,,,,,
33,Binary Search,Time Based Key Value Store,Medium,~60min first / ~8min review,https://neetcode.io/problems/time-based-key-value-store,,,,,
34,Binary Search,Median of Two Sorted Arrays,Hard,~75min first / ~12min review,https://neetcode.io/problems/median-of-two-sorted-arrays,,,,,
35,Linked List,Reverse Linked List,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-a-linked-list,,,,,
36,Linked List,Merge Two Sorted Lists,Easy,~45min first / ~5min review,https://neetcode.io/problems/merge-two-sorted-linked-lists,,,,,
37,Linked List,Linked List Cycle,Easy,~45min first / ~5min review,https://neetcode.io/problems/linked-list-cycle-detection,,,,,
38,Linked List,Reorder List,Medium,~60min first / ~8min review,https://neetcode.io/problems/reorder-linked-list,,,,,
39,Linked List,Remove Nth Node from End of List,Medium,~60min first / ~8min review,https://neetcode.io/problems/remove-node-from-end-of-linked-list,,,,,
40,Linked List,Copy List with Random Pointer,Medium,~60min first / ~8min review,https://neetcode.io/problems/copy-linked-list-with-random-pointer,,,,,
41,Linked List,Add Two Numbers,Medium,~60min first / ~8min review,https://neetcode.io/problems/add-two-numbers,,,,,
42,Linked List,Find the Duplicate Number,Medium,~60min first / ~8min review,https://neetcode.io/problems/find-duplicate-integer,,,,,
43,Linked List,LRU Cache,Medium,~60min first / ~8min review,https://neetcode.io/problems/lru-cache,,,,,
44,Linked List,Merge K Sorted Lists,Hard,~75min first / ~12min review,https://neetcode.io/problems/merge-k-sorted-linked-lists,,,,,
45,Linked List,Reverse Nodes in K Group,Hard,~75min first / ~12min review,https://neetcode.io/problems/reverse-nodes-in-k-group,,,,,
46,Trees,Invert Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/invert-a-binary-tree,,,,,
47,Trees,Maximum Depth of Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/depth-of-binary-tree,,,,,
48,Trees,Diameter of Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/binary-tree-diameter,,,,,
49,Trees,Balanced Binary Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/balanced-binary-tree,,,,,
50,Trees,Same Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/same-binary-tree,,,,,
51,Trees,Subtree of Another Tree,Easy,~45min first / ~5min review,https://neetcode.io/problems/subtree-of-a-binary-tree,,,,,
52,Trees,Lowest Common Ancestor of a Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/lowest-common-ancestor-in-binary-search-tree,,,,,
53,Trees,Binary Tree Level Order Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/level-order-traversal-of-binary-tree,,,,,
54,Trees,Binary Tree Right Side View,Medium,~60min first / ~8min review,https://neetcode.io/problems/binary-tree-right-side-view,,,,,
55,Trees,Count Good Nodes in Binary Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-good-nodes-in-binary-tree,,,,,
56,Trees,Validate Binary Search Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-binary-search-tree,,,,,
57,Trees,Kth Smallest Element in a BST,Medium,~60min first / ~8min review,https://neetcode.io/problems/kth-smallest-integer-in-bst,,,,,
58,Trees,Construct Binary Tree from Preorder and Inorder Traversal,Medium,~60min first / ~8min review,https://neetcode.io/problems/binary-tree-from-preorder-and-inorder-traversal,,,,,
59,Trees,Binary Tree Maximum Path Sum,Hard,~75min first / ~12min review,https://neetcode.io/problems/binary-tree-maximum-path-sum,,,,,
60,Trees,Serialize and Deserialize Binary Tree,Hard,~75min first / ~12min review,https://neetcode.io/problems/serialize-and-deserialize-binary-tree,,,,,
61,Heap / Priority Queue,Kth Largest Element in a Stream,Easy,~45min first / ~5min review,https://neetcode.io/problems/kth-largest-integer-in-a-stream,,,,,
62,Heap / Priority Queue,Last Stone Weight,Easy,~45min first / ~5min review,https://neetcode.io/problems/last-stone-weight,,,,,
63,Heap / Priority Queue,K Closest Points to Origin,Medium,~60min first / ~8min review,https://neetcode.io/problems/k-closest-points-to-origin,,,,,
64,Heap / Priority Queue,Kth Largest Element in an Array,Medium,~60min first / ~8min review,https://neetcode.io/problems/kth-largest-element-in-an-array,,,,,
65,Heap / Priority Queue,Task Scheduler,Medium,~60min first / ~8min review,https://neetcode.io/problems/task-scheduling,,,,,
66,Heap / Priority Queue,Design Twitter,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-twitter-feed,,,,,
67,Heap / Priority Queue,Find Median from Data Stream,Hard,~75min first / ~12min review,https://neetcode.io/problems/find-median-in-a-data-stream,,,,,
68,Backtracking,Subsets,Medium,~60min first / ~8min review,https://neetcode.io/problems/subsets,,,,,
69,Backtracking,Combination Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-target-sum,,,,,
70,Backtracking,Combination Sum II,Medium,~60min first / ~8min review,https://neetcode.io/problems/combination-target-sum-ii,,,,,
71,Backtracking,Permutations,Medium,~60min first / ~8min review,https://neetcode.io/problems/permutations,,,,,
72,Backtracking,Subsets II,Medium,~60min first / ~8min review,https://neetcode.io/problems/subsets-ii,,,,,
73,Backtracking,Word Search,Medium,~60min first / ~8min review,https://neetcode.io/problems/search-for-word,,,,,
74,Backtracking,Palindrome Partitioning,Medium,~60min first / ~8min review,https://neetcode.io/problems/palindrome-partitioning,,,,,
75,Backtracking,Letter Combinations of a Phone Number,Medium,~60min first / ~8min review,https://neetcode.io/problems/combinations-of-a-phone-number,,,,,
76,Backtracking,N Queens,Hard,~75min first / ~12min review,https://neetcode.io/problems/n-queens,,,,,
77,Tries,Implement Trie Prefix Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/implement-prefix-tree,,,,,
78,Tries,Design Add and Search Words Data Structure,Medium,~60min first / ~8min review,https://neetcode.io/problems/design-word-search-data-structure,,,,,
79,Tries,Word Search II,Hard,~75min first / ~12min review,https://neetcode.io/problems/search-for-word-ii,,,,,
80,Graphs,Number of Islands,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-number-of-islands,,,,,
81,Graphs,Max Area of Island,Medium,~60min first / ~8min review,https://neetcode.io/problems/max-area-of-island,,,,,
82,Graphs,Clone Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/clone-graph,,,,,
83,Graphs,Walls and Gates,Medium,~60min first / ~8min review,https://neetcode.io/problems/islands-and-treasure,,,,,
84,Graphs,Rotting Oranges,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotting-fruit,,,,,
85,Graphs,Pacific Atlantic Water Flow,Medium,~60min first / ~8min review,https://neetcode.io/problems/pacific-atlantic-water-flow,,,,,
86,Graphs,Surrounded Regions,Medium,~60min first / ~8min review,https://neetcode.io/problems/surrounded-regions,,,,,
87,Graphs,Course Schedule,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule,,,,,
88,Graphs,Course Schedule II,Medium,~60min first / ~8min review,https://neetcode.io/problems/course-schedule-ii,,,,,
89,Graphs,Graph Valid Tree,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-tree,,,,,
90,Graphs,Number of Connected Components in an Undirected Graph,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-connected-components,,,,,
91,Graphs,Redundant Connection,Medium,~60min first / ~8min review,https://neetcode.io/problems/redundant-connection,,,,,
92,Graphs,Word Ladder,Hard,~75min first / ~12min review,https://neetcode.io/problems/word-ladder,,,,,
93,Advanced Graphs,Network Delay Time,Medium,~60min first / ~8min review,https://neetcode.io/problems/network-delay-time,,,,,
94,Advanced Graphs,Reconstruct Itinerary,Hard,~75min first / ~12min review,https://neetcode.io/problems/reconstruct-flight-path,,,,,
95,Advanced Graphs,Min Cost to Connect All Points,Medium,~60min first / ~8min review,https://neetcode.io/problems/min-cost-to-connect-points,,,,,
96,Advanced Graphs,Swim in Rising Water,Hard,~75min first / ~12min review,https://neetcode.io/problems/swim-in-rising-water,,,,,
97,Advanced Graphs,Alien Dictionary,Hard,~75min first / ~12min review,https://neetcode.io/problems/foreign-dictionary,,,,,
98,Advanced Graphs,Cheapest Flights Within K Stops,Medium,~60min first / ~8min review,https://neetcode.io/problems/cheapest-flight-path,,,,,
99,1-D Dynamic Programming,Climbing Stairs,Easy,~45min first / ~5min review,https://neetcode.io/problems/climbing-stairs,,,,,
100,1-D Dynamic Programming,Min Cost Climbing Stairs,Easy,~45min first / ~5min review,https://neetcode.io/problems/min-cost-climbing-stairs,,,,,
101,1-D Dynamic Programming,House Robber,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber,,,,,
102,1-D Dynamic Programming,House Robber II,Medium,~60min first / ~8min review,https://neetcode.io/problems/house-robber-ii,,,,,
103,1-D Dynamic Programming,Longest Palindromic Substring,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-palindromic-substring,,,,,
104,1-D Dynamic Programming,Palindromic Substrings,Medium,~60min first / ~8min review,https://neetcode.io/problems/palindromic-substrings,,,,,
105,1-D Dynamic Programming,Decode Ways,Medium,~60min first / ~8min review,https://neetcode.io/problems/decode-ways,,,,,
106,1-D Dynamic Programming,Coin Change,Medium,~60min first / ~8min review,https://neetcode.io/problems/coin-change,,,,,
107,1-D Dynamic Programming,Maximum Product Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-product-subarray,,,,,
108,1-D Dynamic Programming,Word Break,Medium,~60min first / ~8min review,https://neetcode.io/problems/word-break,,,,,
109,1-D Dynamic Programming,Longest Increasing Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-increasing-subsequence,,,,,
110,1-D Dynamic Programming,Partition Equal Subset Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/partition-equal-subset-sum,,,,,
111,2-D Dynamic Programming,Unique Paths,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-paths,,,,,
112,2-D Dynamic Programming,Longest Common Subsequence,Medium,~60min first / ~8min review,https://neetcode.io/problems/longest-common-subsequence,,,,,
113,2-D Dynamic Programming,Best Time to Buy and Sell Stock with Cooldown,Medium,~60min first / ~8min review,https://neetcode.io/problems/buy-and-sell-crypto-with-cooldown,,,,,
114,2-D Dynamic Programming,Coin Change II,Medium,~60min first / ~8min review,https://neetcode.io/problems/coin-change-ii,,,,,
115,2-D Dynamic Programming,Target Sum,Medium,~60min first / ~8min review,https://neetcode.io/problems/target-sum,,,,,
116,2-D Dynamic Programming,Interleaving String,Medium,~60min first / ~8min review,https://neetcode.io/problems/interleaving-string,,,,,
117,2-D Dynamic Programming,Longest Increasing Path in a Matrix,Hard,~75min first / ~12min review,https://neetcode.io/problems/longest-increasing-path-in-matrix,,,,,
118,2-D Dynamic Programming,Distinct Subsequences,Hard,~75min first / ~12min review,https://neetcode.io/problems/count-subsequences,,,,,
119,2-D Dynamic Programming,Edit Distance,Medium,~60min first / ~8min review,https://neetcode.io/problems/edit-distance,,,,,
120,2-D Dynamic Programming,Burst Balloons,Hard,~75min first / ~12min review,https://neetcode.io/problems/burst-balloons,,,,,
121,2-D Dynamic Programming,Regular Expression Matching,Hard,~75min first / ~12min review,https://neetcode.io/problems/regular-expression-matching,,,,,
122,Greedy,Maximum Subarray,Medium,~60min first / ~8min review,https://neetcode.io/problems/maximum-subarray,,,,,
123,Greedy,Jump Game,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game,,,,,
124,Greedy,Jump Game II,Medium,~60min first / ~8min review,https://neetcode.io/problems/jump-game-ii,,,,,
125,Greedy,Gas Station,Medium,~60min first / ~8min review,https://neetcode.io/problems/gas-station,,,,,
126,Greedy,Hand of Straights,Medium,~60min first / ~8min review,https://neetcode.io/problems/hand-of-straights,,,,,
127,Greedy,Merge Triplets to Form Target Triplet,Medium,~60min first / ~8min review,https://neetcode.io/problems/merge-triplets-to-form-target,,,,,
128,Greedy,Partition Labels,Medium,~60min first / ~8min review,https://neetcode.io/problems/partition-labels,,,,,
129,Greedy,Valid Parenthesis String,Medium,~60min first / ~8min review,https://neetcode.io/problems/valid-parenthesis-string,,,,,
130,Intervals,Insert Interval,Medium,~60min first / ~8min review,https://neetcode.io/problems/insert-new-interval,,,,,
131,Intervals,Merge Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/merge-intervals,,,,,
132,Intervals,Non Overlapping Intervals,Medium,~60min first / ~8min review,https://neetcode.io/problems/non-overlapping-intervals,,,,,
133,Intervals,Meeting Rooms,Easy,~45min first / ~5min review,https://neetcode.io/problems/meeting-schedule,,,,,
134,Intervals,Meeting Rooms II,Medium,~60min first / ~8min review,https://neetcode.io/problems/meeting-schedule-ii,,,,,
135,Intervals,Minimum Interval to Include Each Query,Hard,~75min first / ~12min review,https://neetcode.io/problems/minimum-interval-including-query,,,,,
136,Math & Geometry,Rotate Image,Medium,~60min first / ~8min review,https://neetcode.io/problems/rotate-matrix,,,,,
137,Math & Geometry,Spiral Matrix,Medium,~60min first / ~8min review,https://neetcode.io/problems/spiral-matrix,,,,,
138,Math & Geometry,Set Matrix Zeroes,Medium,~60min first / ~8min review,https://neetcode.io/problems/set-zeroes-in-matrix,,,,,
139,Math & Geometry,Happy Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/non-cyclical-number,,,,,
140,Math & Geometry,Plus One,Easy,~45min first / ~5min review,https://neetcode.io/problems/plus-one,,,,,
141,Math & Geometry,"Pow(x, n)",Medium,~60min first / ~8min review,https://neetcode.io/problems/pow-x-n,,,,,
142,Math & Geometry,Multiply Strings,Medium,~60min first / ~8min review,https://neetcode.io/problems/multiply-strings,,,,,
143,Math & Geometry,Detect Squares,Medium,~60min first / ~8min review,https://neetcode.io/problems/count-squares,,,,,
144,Bit Manipulation,Single Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/single-number,,,,,
145,Bit Manipulation,Number of 1 Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/number-of-one-bits,,,,,
146,Bit Manipulation,Counting Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/counting-bits,,,,,
147,Bit Manipulation,Reverse Bits,Easy,~45min first / ~5min review,https://neetcode.io/problems/reverse-bits,,,,,
148,Bit Manipulation,Missing Number,Easy,~45min first / ~5min review,https://neetcode.io/problems/missing-number,,,,,
149,Bit Manipulation,Sum of Two Integers,Medium,~60min first / ~8min review,https://neetcode.io/problems/sum-of-two-integers,,,,,
150,Bit Manipulation,Reverse Integer,Medium,~60min first / ~8min review,https://neetcode.io/problems/reverse-integer,,,,,
